year_month_week,year,month,day,year_month,week
1535044,1535,4,28,153504,4
1535051,1535,5,5,153505,1
1535052,1535,5,12,153505,2
1535053,1535,5,19,153505,3
1535054,1535,5,26,153505,4
1535061,1535,6,2,153506,1
1535062,1535,6,9,153506,2
1535063,1535,6,16,153506,3
1535064,1535,6,23,153506,4
1535065,1535,6,30,153506,5
1535071,1535,7,7,153507,1
1535072,1535,7,14,153507,2
1535073,1535,7,21,153507,3
1535074,1535,7,28,153507,4
1535081,1535,8,4,153508,1
1535082,1535,8,11,153508,2
1535083,1535,8,18,153508,3
1535084,1535,8,25,153508,4
1535091,1535,9,1,153509,1
1535092,1535,9,8,153509,2
1535093,1535,9,15,153509,3
1535094,1535,9,22,153509,4
1535095,1535,9,29,153509,5
1535101,1535,10,6,153510,1
1535102,1535,10,13,153510,2
1535103,1535,10,20,153510,3
1535104,1535,10,27,153510,4
1535111,1535,11,3,153511,1
1535112,1535,11,10,153511,2
1535113,1535,11,17,153511,3
1535114,1535,11,24,153511,4
1535121,1535,12,1,153512,1
1535122,1535,12,8,153512,2
1535123,1535,12,15,153512,3
1535124,1535,12,22,153512,4
1535125,1535,12,29,153512,5
1536011,1536,1,5,153601,1
1536012,1536,1,12,153601,2
1536013,1536,1,19,153601,3
1536014,1536,1,26,153601,4
1536021,1536,2,2,153602,1
1536022,1536,2,9,153602,2
1536023,1536,2,16,153602,3
1536024,1536,2,23,153602,4
1536031,1536,3,1,153603,1
1536032,1536,3,8,153603,2
1536033,1536,3,15,153603,3
1536034,1536,3,22,153603,4
1536035,1536,3,29,153603,5
1536041,1536,4,5,153604,1
1536042,1536,4,12,153604,2
1536043,1536,4,19,153604,3
1536044,1536,4,26,153604,4
1536051,1536,5,3,153605,1
1536052,1536,5,10,153605,2
1536053,1536,5,17,153605,3
1536054,1536,5,24,153605,4
1536055,1536,5,31,153605,5
1536061,1536,6,7,153606,1
1536062,1536,6,14,153606,2
1536063,1536,6,21,153606,3
1536064,1536,6,28,153606,4
1536071,1536,7,5,153607,1
1536072,1536,7,12,153607,2
1536073,1536,7,19,153607,3
1536074,1536,7,26,153607,4
1536081,1536,8,2,153608,1
1536082,1536,8,9,153608,2
1536083,1536,8,16,153608,3
1536084,1536,8,23,153608,4
1536085,1536,8,30,153608,5
1536091,1536,9,6,153609,1
1536092,1536,9,13,153609,2
1536093,1536,9,20,153609,3
1536094,1536,9,27,153609,4
